TAXREF17;TAXREF17
CD_REF;NOM LATIN
116460;Pulsatilla vulgaris
82656;Anemone ranunculoides
82656;Anemone ranunculoides
150342;Pulsatilla rubra var. rubra
150343;Pulsatilla rubra var. serotina
116457;Pulsatilla scherfelii
997908;Pulsatilla scherfelii subsp. cyrnea
965529;Pulsatilla scherfelii subsp. scherfelii
82665;Anemone sylvestris
82666;Anemone trifolia
131411;Anemone trifolia subsp. albida
131412;Anemone trifolia subsp. trifolia
116459;Pulsatilla vernalis
116459;Pulsatilla vernalis
;
116463;Pulsatilla x emiliana
116465;Pulsatilla x girodii
965525;Eriocapitella x hybrida
116466;Pulsatilla x knappii
82679;Anemone x lipsiensis
116467;Pulsatilla x ochroleuca
82681;Anemone x pittonii
116468;Pulsatilla x propinqua
116470;Pulsatilla x vispensis
611589;Pulsatilla x wilczekii
82692;Anethum graveolens
612391;Anethum graveolens subsp. graveolens
82705;Angelica archangelica
131413;Angelica archangelica subsp. archangelica
131414;Angelica archangelica subsp. litoralis
131413;Angelica archangelica subsp. archangelica
131413;Angelica archangelica subsp. archangelica
610714;Angelica atropurpurea
610712;Angelica gigas
82715;Angelica heterocarpa
610711;Angelica pachycarpa
610713;Angelica polymorpha
82733;Angelica razulii
82738;Angelica sylvestris
612392;Angelica sylvestris subsp. bernardae
159536;Angelica sylvestris subsp. sylvestris
82742;Angelica x mixta
82750;Anisantha diandra
82751;Anisantha fasciculata
718307;Anisantha fasciculata subsp. fasciculata
82753;Anisantha madritensis
610814;Anisantha madritensis x
82755;Anisantha rigida
82756;Anisantha rubens
82757;Anisantha sterilis
82758;Anisantha tectorum
717083;Anisantha x granatensis
717084;Anisosciadium orientale
82775;Anoda cristata
82783;Anogramma leptophylla
446987;Anredera cordifolia
630932;Anredera vesicaria
82794;Antennaria carpatica
718308;Antennaria carpatica subsp. helvetica
82796;Antennaria dioica
610723;Anthemis alpestris
92627;Cota altissima
82817;Anthemis arvensis
